LEXICON,POS,RIGHT,LEFT,HAND_DIFF,MOV_ID,HAND,PLACE
MUTFAK_0,Ad ,1.344845547771159,1.8208902726689398,-0.4760447248977808,1,16,24
GIZLI_1,Sıfat ,0.9440651850422886,1.4192828690403645,-0.47521768399807585,2,25,2
BEŞ VAKIT_0,,0.23642059465821091,0.7097213102054678,-0.4733007155472569,1,19,24
SÜREKLI_0,Belirteç ,0.459148646944794,0.9276699993521218,-0.4685213524073278,2,28,1
ÖNEMSEMEK_0,Eylem ,0.6136535158786397,1.0741073786059891,-0.46045386272734945,2,19,1
KONTROL_0,Ad ,1.0326684091041325,1.4918900673186584,-0.4592216582145259,1,22,1
İŞARETLEŞMEK_0,Eylem ,0.3974666554921813,0.8544431613500072,-0.4569765058578259,1,19,21
KÖY _1,Ad ,0.449931518687002,0.8960091981581285,-0.44607767947112653,1,21,1
ERIŞTE_0,Ad ,0.4905646479795609,0.9349245547230183,-0.4443599067434574,1,28,21
YA_0,Ünlem ,0.5946387020053034,1.0368495654858152,-0.44221086348051175,2,19,2
İLGILENMEK _0,Eylem ,0.6322069909953212,1.0733220647254922,-0.441115073730171,2,29,6
KUVVET_0,Ad ,0.8056260616421784,1.2433716203837373,-0.43774555874155885,1,2,18
BAŞLAMAK_0,Eylem ,0.5823820107827866,1.015537151458883,-0.4331551406760963,1,22,1
GIBI_1,Belirteç ,0.3076847598645015,0.7355645475209869,-0.4278797876564854,2,22,1
SOKMAK _1,Eylem ,0.5850945263865606,1.0128895330739374,-0.4277950066873768,1,8,26
BOL_0,Sıfat ,0.5351831228861397,0.9620374447973009,-0.42685432191116124,2,29,1
KABAHAT_1,,0.21990243909464696,0.6446693783274925,-0.42476693923284553,2,8,1
SERAMIK_0,Ad ,0.5747430122402624,0.9961461907227301,-0.4214031784824678,1,28,1
GÜNDÜZ_0,Belirteç ,0.8077709727599486,1.2274287220913584,-0.41965774933140987,1,18,2
YAPRAK_1,Ad ,0.5726069826186594,0.9912478486833469,-0.41864086606468753,1,28,26
KALKMAK _1,Eylem ,0.6953780438966479,1.1114354532245505,-0.4160574093279026,3,31,1
ACIL_0,Sıfat ,0.9231716703105888,1.3330771278239113,-0.4099054575133225,1,30,1
İZ_0,Ad ,0.30650267956978183,0.7156755353921964,-0.4091728558224146,1,19,24
DAKTILO_0,Ad ,2.266001900633505,2.6736836254174454,-0.4076817247839406,3,11,1
BOYNUZ_0,Ad ,0.7844826268141945,1.1915696379376728,-0.40708701112347834,1,14,4
PASO_0,Ad ,0.47140106761445133,0.8775676805260413,-0.40616661291158995,1,27,26
ALTIN_1,Sıfat ,1.1836206202085702,1.5887857705325334,-0.4051651503239633,2,22,1
DEĞIŞ TOKUŞ_0,Ad ,0.9270904439976043,1.3310768602097576,-0.40398641621215325,2,8,1
KEMIK_0,,0.7644861295511627,1.166727961521886,-0.4022418319707233,1,31,1
ORTADA KALMAK _0,Eylem ,1.115359658003717,1.5142922149586848,-0.39893255695496777,2,22,11
HEDEF_0,Ad ,0.8126009020682416,1.211462998611351,-0.39886209654310933,1,9,1
YANILMAK_0,Eylem ,0.7338463665144161,1.1317982428906543,-0.3979518763762382,1,28,21
MASRAF_0,Ad ,0.7652847018035618,1.162752207839165,-0.3974675060356032,1,11,1
ÇEVIRMEK_0,Eylem ,0.8546703970178988,1.2466448412209545,-0.3919744442030557,1,11,1
HAVA_0,Ad ,0.9098100702131416,1.2984976342687995,-0.38868756405565785,1,28,2
DISKO_0,Ad ,1.3062949806577904,1.689295189482299,-0.3830002088245086,2,25,1
YOL_1,Ad ,0.8702556803564065,1.2518902520992348,-0.3816345717428282,1,18,1
SEVAP_0,Ad ,0.060525341268494855,0.44016718429780743,-0.3796418430293126,2,28,3
ENGEL_1,Ad ,0.6009800086375576,0.9790514771662719,-0.3780714685287143,1,28,1
UYUŞMAK_0,Eylem ,0.6911828548830744,1.0642524477839064,-0.37306959290083197,1,1,1
FITNESS_0,Ad ,1.0274946458739525,1.395497988271488,-0.3680033423975355,1,25,1
HANGI_0,Sıfat ,0.4257147806202919,0.793552526565832,-0.3678377459455401,1,19,1
KABUL ETMEK _0,Eylem ,0.7735580954104209,1.1406379291559197,-0.3670798337454988,1,28,1
FABRIKA_0,Ad ,1.0352697716935522,1.400975610964367,-0.3657058392708148,1,25,1
ASMAK_0,Eylem ,0.7168831689632434,1.0815208288990061,-0.3646376599357627,1,32,23
LAF_1,Ad ,0.9168922845909924,1.27959867284439,-0.3627063882533976,3,17,2
DEĞIŞIK _2,Sıfat ,0.6105547515379938,0.9712904899818483,-0.36073573844385454,1,11,1
GIBI_0,İlgeç ,1.0103113987001935,1.3691357583528854,-0.3588243596526919,2,22,1
HIZMET _2,Ad ,0.33055002783182774,0.6853739233031177,-0.35482389547129,2,28,18
KABA_2,,0.4405966900121857,0.7923721880303314,-0.35177549801814567,1,32,6
KUMPIR_0,Ad ,0.8491377243489098,1.2007771073469082,-0.35163938299799846,1,32,9
ÇARESIZ_1,Sıfat ,0.6691346418150519,1.0207653444114548,-0.35163070259640294,1,1,12
RAHATLAMAK_0,Eylem ,0.766004365460623,1.1136700194554654,-0.3476656539948424,2,28,4
İŞ_0,Ad ,0.8481336074507247,1.1943616588127675,-0.3462280513620427,1,11,1
HAVA_1,Ad ,1.1531899807686925,1.4943061205178363,-0.3411161397491438,1,28,2
DOĞMAK_0,Eylem ,0.8535192883125388,1.19254368646707,-0.3390243981545312,1,28,14
EKONOMIK_1,Sıfat ,0.928430033258265,1.2670675960023696,-0.3386375627441046,2,11,1
ÖĞRETMEK_0,Eylem ,0.996810032461066,1.3353721605940374,-0.3385621281329714,1,25,1
MÜHÜR_0,,0.8454857459916407,1.1814400367857938,-0.33595429079415307,3,11,9
ÖRGÜ_1,Ad ,1.298203066712329,1.6327490738608073,-0.33454600714847826,2,26,1
TAKSIT_0,Ad ,0.7970273864440267,1.130557218050042,-0.33352983160601535,1,28,26
YAKALANMAK _0,Eylem ,1.0446541128332965,1.3748295178532317,-0.33017540501993525,2,25,1
GÖVDE_1,,0.6208645688423744,0.9475196272138793,-0.3266550583715049,2,29,1
ÇIĞ KÖFTE_0,Ad ,1.0947819297918606,1.4178600609121366,-0.32307813112027595,1,25,24
BAYAT_0,Sıfat ,0.5434841591021319,0.8662715818323161,-0.32278742273018424,1,28,1
GIRMEK_0,Eylem ,0.32500102782338236,0.6471396405960417,-0.3221386127726593,1,27,24
ÇEKMEK_1,Eylem ,0.49490106441389925,0.8131208928893149,-0.31821982847541563,1,31,1
HAFIF_0,Sıfat ,0.9995608191851706,1.317283881022444,-0.3177230618372735,1,28,1
ABARTMAK_1,Eylem ,1.2516007077714977,1.5688813800303265,-0.31728067225882883,2,8,2
BOĞULMAK_2,Eylem ,0.3821959739795611,0.6993910106558427,-0.3171950366762816,1,29,13
ORTALAMA_0,Ad ,1.1003863467596797,1.414420635079517,-0.31403428831983726,1,28,1
KUZEN_0,Ad ,0.8218842207490549,1.1344452426095075,-0.31256102186045265,1,30,23
UYUMAK_0,Eylem ,0.6091628727509091,0.92164057918364,-0.3124777064327309,1,8,2
MIMIK_0,Ad ,0.8725679939475428,1.180047450704609,-0.3074794567570662,1,29,2
YARDIM_0,Ad ,0.43256139014391903,0.7394850040291966,-0.30692361388527756,1,28,19
ÜLKE_1,Ad ,0.734790230111551,1.0413737723865286,-0.30658354227497764,1,28,18
SEL_0,Ad ,0.48841298840912817,0.7924322609950549,-0.30401927258592676,2,19,1
HIÇ_1,Belirteç ,0.621376879053847,0.9241502013694667,-0.3027733223156197,1,22,1
DAVET _0,Ad ,0.42518049347160436,0.7274028124913137,-0.3022223190197093,1,18,1
KILIM_0,Ad ,0.689164519998824,0.9902506573273211,-0.3010861373284971,2,28,1
KOPYALAMAK_0,Eylem ,0.4645666541663611,0.7640367533007755,-0.29947009913441436,3,29,1
VOLEYBOL_0,,0.8119217912599845,1.11018651560715,-0.29826472434716544,1,29,2
HAMAM_0,Ad ,1.177522541009957,1.4744774060245265,-0.29695486501456947,1,11,2
İP_0,Ad ,0.7081652570667187,1.0048579617326034,-0.2966927046658847,1,22,1
SALLANMAK _0,Eylem ,0.9093198113947525,1.2058236672561269,-0.2965038558613744,1,19,1
YAYA_0,Ad ,0.9807617748713786,1.2752350314464789,-0.29447325657510026,1,18,21
KAMERA_1,,0.9110577712299921,1.2054426070497737,-0.2943848358197816,1,21,1
OYUNCAK_0,Ad ,0.9921295377508835,1.2864319278219303,-0.29430239007104675,1,14,1
